"","interval","cumulative_n","cumulative_survivors","cumulative_deaths","decision","trial_stopped","sim_id","true_survival_rate","recapture_rate"
"208024",600,600,587.795480578986,12.2045194210143,"Accept H0",TRUE,921,0.99,0.97
"205732",100,100,96.7391304347826,3.26086956521739,"Continue",FALSE,911,0.96,0.95
"160429",300,300,291.979797979798,8.02020202020202,"Continue",FALSE,710,0.97,0.98
"170885",200,200,197.802197802198,2.19780219780222,"Accept H0",TRUE,757,0.97,0.93
"205553",200,200,195.876288659794,4.1237113402062,"Continue",FALSE,910,0.98,0.97
"178340",200,200,187.811039535177,12.1889604648225,"Reject H0",TRUE,790,0.95,0.9
"152720",200,200,194.599542334096,5.4004576659039,"Continue",FALSE,676,0.96,0.96
"50796",200,200,191.157791890572,8.84220810942844,"Reject H0",TRUE,225,0.97,0.91
"89664",100,100,98.8888888888889,1.11111111111111,"Continue",FALSE,397,0.99,0.92
"158338",200,200,193.75,6.25,"Continue",FALSE,701,0.97,0.97
"1739",100,100,90.9090909090909,9.09090909090909,"Reject H0",TRUE,8,0.9,0.99
"88980",100,100,100,0,"Accept H0",TRUE,394,0.99,0.92
"59793",100,100,96.8085106382979,3.19148936170212,"Continue",FALSE,265,0.94,0.92
"134585",100,100,95.9183673469388,4.08163265306123,"Continue",FALSE,595,0.96,0.97
"4285",300,300,291.857349000206,8.14265099979383,"Continue",FALSE,19,0.96,0.98
"79045",100,100,90.1098901098901,9.89010989010988,"Reject H0",TRUE,350,0.94,0.91
"33874",200,200,197,3,"Continue",FALSE,149,0.99,1
"4433",400,400,391.59901020426,8.40098979573975,"Accept H0",TRUE,20,0.99,0.94
